Specie,File,Validation,Alternative
Himantopus himantopus,2MA00783-INM_20240509_042300_1822000_1830000_0.7834333333333334.WAV,0,
Sitta europaea,2MA00783-INM_20240508_062402_1355000_1358000_0.8118.WAV,0,
Upupa epops,2MA00783-INM_20240618_070602_499000_504000_0.9480666666666666.WAV,1,
Upupa epops,2MA00783-INM_20240617_070602_325000_330000_0.8757666666666667.WAV,-1,
Upupa epops,2MA00783-INM_20240617_070602_352000_448000_0.9118106382978722.WAV,-1,
Upupa epops,2MA00783-INM_20240617_070602_337000_348000_0.8443.WAV,0,XXXX
Upupa epops,2MA00783-INM_20240618_070602_610000_751000_0.8294620155038759.WAV,1,
Upupa epops,2MA00783-INM_20240616_060602_3437000_3554000_0.8556252252252251.WAV,1,
Upupa epops,2MA00783-INM_20240618_070602_814000_834000_0.7656133333333333.WAV,0,
Upupa epops,2MA00783-INM_20240512_072002_3188000_3195000_0.8572799999999999.WAV,0,Different Specie
Upupa epops,2MA00783-INM_20240616_060602_3321000_3372000_0.8147235294117647.WAV,0,Corvus corone
Upupa epops,2MA00783-INM_20240617_070602_354000_447000_0.7583129032258065.WAV,-1,
Upupa epops,2MA00783-INM_20240618_070602_237000_495000_0.8209254237288136.WAV,-1,
Upupa epops,2MA00783-INM_20240617_070602_313000_317000_0.83815.WAV,-1,
Upupa epops,2MA00783-INM_20240616_070602_3294000_3297000_0.7569.WAV,-1,
Upupa epops,2MA00783-INM_20240617_070602_154000_284000_0.9240000000000002.WAV,-1,
Upupa epops,2MA00783-INM_20240617_070602_144000_147000_0.8315.WAV,-1,
Upupa epops,2MA00783-INM_20240616_070602_3284000_3287000_0.9679.WAV,-1,
Upupa epops,2MA00783-INM_20240617_070602_285000_292000_0.958125.WAV,-1,
Upupa epops,2MA00783-INM_20240512_072002_2735000_2738000_0.8067.WAV,-1,
Upupa epops,2MA00783-INM_20240616_060602_3379000_3433000_0.8351326086956525.WAV,-1,
Upupa epops,2MA00783-INM_20240512_072002_3113000_3116000_0.8843.WAV,-1,
Upupa epops,2MA00783-INM_20240618_070602_528000_586000_0.808133962264151.WAV,-1,
Upupa epops,2MA00783-INM_20240616_060602_3310000_3362000_0.9457270833333332.WAV,-1,
Upupa epops,2MA00783-INM_20240617_070602_142000_147000_0.9826666666666668.WAV,-1,
Columba palumbus,2MA00783-INM_20240413_075402_2062000_2074000_0.75571.WAV,-1,
Columba palumbus,2MA00783-INM_20240502_201400_1359000_1365000_0.8242.WAV,-1,
Columba palumbus,2MA00783-INM_20240505_072702_3230000_3245000_0.908146153846154.WAV,-1,
Columba palumbus,2MA00783-INM_20240622_070702_194000_206000_0.8664000000000002.WAV,-1,
